ODEFunc(
  (net1): Sequential(
    (0): Linear(in_features=160, out_features=100, bias=True)
    (1): Tanh()
    (2): Linear(in_features=100, out_features=100, bias=True)
    (3): Tanh()
    (4): Linear(in_features=100, out_features=160, bias=True)
  )
)
ODEFunc(
  (net1): Sequential(
    (0): Linear(in_features=160, out_features=100, bias=True)
    (1): Tanh()
    (2): Linear(in_features=100, out_features=100, bias=True)
    (3): Tanh()
    (4): Linear(in_features=100, out_features=160, bias=True)
  )
)
Number of parameters: 42360
Iter 0005 | Total Loss 471.394409 | Sim 140 
Iter 0010 | Total Loss 437.429260 | Sim 140 
Iter 0015 | Total Loss 401.138336 | Sim 140 
Iter 0020 | Total Loss 361.394836 | Sim 140 
Iter 0025 | Total Loss 319.270691 | Sim 140 
Iter 0030 | Total Loss 276.336487 | Sim 140 
Iter 0035 | Total Loss 233.475723 | Sim 140 
Iter 0040 | Total Loss 191.447983 | Sim 140 
Iter 0045 | Total Loss 151.384949 | Sim 140 
Iter 0050 | Total Loss 116.192070 | Sim 140 
ODEFunc(
  (net1): Sequential(
    (0): Linear(in_features=160, out_features=100, bias=True)
    (1): Tanh()
    (2): Linear(in_features=100, out_features=100, bias=True)
    (3): Tanh()
    (4): Linear(in_features=100, out_features=160, bias=True)
  )
)
Number of parameters: 42360
Iter 0005 | Total Loss 477.051453 | Sim 140 
Iter 0010 | Total Loss 441.712677 | Sim 140 
Iter 0015 | Total Loss 401.672424 | Sim 140 
Iter 0020 | Total Loss 359.264038 | Sim 140 
Iter 0025 | Total Loss 315.545776 | Sim 140 
Iter 0030 | Total Loss 272.085480 | Sim 140 
Iter 0035 | Total Loss 228.928268 | Sim 140 
Iter 0040 | Total Loss 187.114975 | Sim 140 
Iter 0045 | Total Loss 147.349182 | Sim 140 
Iter 0050 | Total Loss 112.828484 | Sim 140 
Iter 0055 | Total Loss 85.210594 | Sim 140 
Iter 0060 | Total Loss 63.217888 | Sim 140 
Iter 0065 | Total Loss 47.861927 | Sim 140 
Iter 0070 | Total Loss 39.635628 | Sim 140 
Iter 0075 | Total Loss 35.377460 | Sim 140 
Iter 0080 | Total Loss 32.612011 | Sim 140 
Iter 0085 | Total Loss 30.643436 | Sim 140 
Iter 0090 | Total Loss 29.870239 | Sim 140 
Iter 0095 | Total Loss 29.744616 | Sim 140 
Iter 0100 | Total Loss 30.112345 | Sim 140 
Iter 0105 | Total Loss 30.082106 | Sim 140 
Iter 0110 | Total Loss 29.896471 | Sim 140 
Iter 0115 | Total Loss 29.785194 | Sim 140 
Iter 0120 | Total Loss 29.474348 | Sim 140 
Iter 0125 | Total Loss 29.508638 | Sim 140 
Iter 0130 | Total Loss 30.688784 | Sim 140 
Iter 0135 | Total Loss 30.172520 | Sim 140 
Iter 0140 | Total Loss 28.716661 | Sim 140 
Iter 0145 | Total Loss 27.867893 | Sim 140 
Iter 0150 | Total Loss 28.868820 | Sim 140 
