Radius,BStrength,ApexHeight,OrientationCme,iHelicity,restartdir,realization
0.58375,22.52662206,0.682075391,204.725,1,4,4
0.52625,6.919483373,0.519178516,164.225,1,4,4
0.72625,5.0875,0.662022266,233.975,1,4,4
0.36125,18.3607699,0.420743359,200.675,-1,4,4
0.69125,8.127120253,0.735101172,184.925,1,4,4
0.31875,42.76293137,0.362876953,171.425,-1,4,4
0.42875,21.45056122,0.415753516,196.625,1,4,4
0.73625,12.7818039,0.694605859,223.625,1,4,4
0.36875,10.74411017,0.456443359,175.025,1,4,4
0.43625,26.22467765,0.504005078,225.425,1,4,4
0.77125,5.34476094,0.833191016,238.025,-1,4,4
0.50125,8.330305486,0.608235547,202.025,1,4,4
0.70875,5.966820988,0.837432422,170.075,-1,4,4
0.33125,15.9920283,0.339841797,222.725,1,4,4
0.43125,10.05407971,0.477205078,242.525,1,4,4
0.38125,22.86205738,0.348962891,168.725,1,4,4
0.74125,6.281732715,0.841087109,217.325,1,4,4
0.59875,7.509107516,0.605298828,195.275,-1,4,4
0.49375,19.92496835,0.446380859,219.575,1,4,4
0.40375,25.16028638,0.443746484,209.225,-1,4,4
0.34875,31.88531362,0.363026953,192.125,-1,4,4
0.40125,15.99788941,0.380811328,229.025,1,4,4
0.54875,16.95447039,0.486844141,239.825,-1,4,4
0.53125,13.69195882,0.609775391,181.325,-1,4,4
0.41125,30.02707447,0.383362109,186.275,-1,4,4
0.68625,7.174394353,0.675741797,232.175,-1,4,4
0.78125,10.267796,0.811767578,198.425,1,4,4
0.46375,11.1925,0.520124609,165.125,-1,4,4
0.76625,9.701937194,0.925486328,213.725,-1,4,4
0.48625,14.19007069,0.500685547,243.875,-1,4,4
0.64125,14.84201267,0.744451172,191.225,1,4,4
0.54375,19.07520115,0.676119141,223.175,-1,4,4
0.57125,7.49654814,0.533583203,214.175,1,4,4
0.30875,38.61144737,0.335283203,220.475,1,4,4
0.58875,16.52843418,0.622787109,158.825,1,4,4
0.75875,14.86689868,0.688802734,194.375,1,4,4
0.47625,13.14204068,0.582364453,186.725,-1,4,4
0.59125,9.411337209,0.685295703,236.225,-1,4,4
0.64375,20.09513107,0.673724609,155.225,-1,4,4
0.64875,12.28253854,0.631517578,221.375,-1,4,4
0.69625,9.449780072,0.609871484,165.575,1,12,10
0.57375,16.68123638,0.628435547,216.425,1,12,10
0.35375,14.06882509,0.347006641,182.225,1,12,10
0.37125,15.99564815,0.403850391,163.325,1,12,10
0.56625,6.902378587,0.578813672,179.975,-1,12,10
0.33625,20.67907993,0.297055859,234.425,1,12,10
0.65875,9.257898482,0.803057422,242.975,-1,12,10
0.41375,14.61080816,0.415172266,207.875,1,12,10
0.46875,24.52039333,0.584619141,176.375,-1,12,10
0.57875,15.42951944,0.528651953,198.875,-1,12,10
0.38625,9.980720065,0.436100391,212.825,-1,12,10
0.50875,12.4075,0.543885547,190.325,1,12,10
0.36375,28.07390893,0.438659766,239.375,1,12,10
0.79125,16.68667852,0.871116797,193.025,-1,12,10
0.72875,10.12787736,0.847399609,159.725,-1,12,10
0.42625,28.21846774,0.434908203,161.975,1,12,10
0.75625,7.216681818,0.751759766,215.525,1,12,10
0.35125,23.44595196,0.432805859,206.975,-1,12,10
0.60125,11.12057692,0.677721484,171.875,1,12,10
0.70625,18.46807522,0.846396484,230.375,1,12,10
0.65375,11.20806405,0.613094922,184.025,1,12,10
0.44875,15.61394847,0.483948828,203.375,-1,12,10
0.63375,21.25511341,0.785651953,210.575,1,12,10
0.79875,13.31985524,0.735598828,207.425,1,12,10
0.47875,22.6692624,0.570161328,217.775,-1,12,10
0.64625,8.858351064,0.575768359,205.175,-1,12,10
